,Genres
0,Action
1,Adult
2,Adventure
3,Animation
4,Anime
5,Biography
6,British TV Shows
7,Children
8,Classic
10,Comedies
11,Comedy
12,Crime
16,Cult
17,Documentaries
18,Documentary
19,Docuseries
20,Drama
22,Faith
23,Family
25,Fantasy
26,Film-Noir
27,History
28,Horror
30,Independent
31,International
33,Kids' TV
34,Korean TV Shows
35,LGBTQ Movies
37,Music
38,Musical
40,Mystery
41,Nature TV
42,News
43,Reality
46,Romance
47,Romantic
49,Sci-Fi
50,Science
51,Spanish-Language
52,Spirituality
53,Sport
55,Stand-Up Comedy
56,Talk Shows
57,Teen
58,Thriller
63,Mysteries
67,War
68,Western
